UserID,Product,Quantity,Date,Category,Price,Palabra_Clave
1003,Galletitas Vainilla Con Chips Girotondo Okebon X 214 G.,3,2023-11-13,Almacen,$5500,Galletitas
1352,Postre En Polvo Vainilla Light Exquisita X 80 G.,2,2023-11-15,Almacen,$1350,Postre
1278,Cerveza Rubia Lata Salta X 473 Cc.,2,2023-05-06,Bebidas,$1600,Cerveza
1545,"Helado Pote Dulce De Leche, Granizado Y Chocolate Noel X 1 Kg.",2,2023-07-24,Congelados,$7700,Helado
1170,Limpiador Líquido Procenex Limón X 900 Cc.,2,2023-11-08,Limpieza,$1185,Limpiador
1522,Caramelos Masticables Palitos Selva X 150 G.,2,2023-11-04,Almacen,$690,Caramelos
1842,Shampoo Colágeno Y Vitamina C Sedal X 340 Cc.,1,2023-11-24,Perfumeria,$5900,Shampoo
1414,Jabón De Tocador Antibacterial Original Rexona X 90 G.,1,2023-01-02,Perfumeria,$3209,Jabón
1386,Fideos Mostachol Arcor X 500 G.,2,2023-11-10,Almacen,$2465,Fideos
1064,Vino Blanco Chardonnay Reserva Viñalba X 750 Cc.,1,2023-01-19,Bebidas,$11475,Vino
1764,Hamburguesa De Carne Vacuna Clásico Paty X 4 Un. 320 Gr.,1,2023-07-04,Congelados,$9383,Hamburguesa
1794,Galletitas Salvado Hogareñas X 200 G.,3,2023-12-08,Almacen,$1400,Galletitas
1057,Carpeta Neon Iii Inkdrop,3,2023-04-16,Hogar,$20759,Carpeta
1447,Yogur Batido Descremado Frutilla La Serenísima Clásico 120G.,2,2023-06-15,Frescos,$2500,Yogur
1435,Acondicionador Carbón Activado Y Peonias Sedal X 190 Cc.,2,2023-07-01,Perfumeria,$6900,Acondicionador
1711,Zapallo Criollo (Kg),2,2023-02-22,Frutas-Y-Verduras,$689,Zapallo
1456,Bebida Láctea A Base De Leche Machiato Sense X 200 Cc.,3,2023-10-15,Frescos,$2150,Bebida
1993,Aromatizador Ambiente Telas Peonias Seven Scents X 250 Cc.,1,2023-07-14,Limpieza,$5249,Aromatizador
1040,Te En Saquitos Hierbas Digestivas Taragui X 10 Un.,1,2023-01-27,Almacen,$1400,Te
1243,Alimento En Polvo Base Cacao Chocolino X 800 G.,2,2023-03-05,Almacen,$2200,Alimento
1601,Cera Liquida Natural Suiza X 850 Cc.,3,2023-01-22,Limpieza,$2200,Cera
1785,Pan Rallado Morixe 500 G.,3,2023-05-24,Panaderia,$2691,Pan
1064,Antitranspirante Roll On Hinds Flowers X 60 G.,2,2023-10-19,Perfumeria,$2349,Antitranspirante
1084,Chocolate Con Leche Kinder X 4 Un. X 50 G.,3,2023-08-06,Almacen,$2850,Chocolate
1291,Adhesivo Transparente Suprabond X 25 Cc.,2,2023-10-02,Hogar,$1550,Adhesivo
1462,Vino Blanco Torrontes Reserve Cafayate X 750 Cc.,1,2023-07-04,Bebidas,$8175,Vino
1345,Mascarilla Reparación Total Extreme Elvive X 300 Cc.,3,2023-02-28,Perfumeria,$2320,Mascarilla
1108,Sifón Descartable La Anónima X 2 Lt.,1,2023-04-18,Bebidas,$3450,Sifón
1826,Yerba Mate Con Palo Hierbas Serranas Amanda X 500 G.,3,2023-11-11,Almacen,$2250,Yerba
1583,Toallas Femeninas Ladysoft Ultra Protect X 16 Un.,3,2023-11-02,Perfumeria,$1600,Toallas
1067,Mermelada Frutos Rojos Seleccion La Campagnola X 390 G.,2,2023-08-24,Almacen,$5089,Mermelada
1499,Limpiador Liquido Baño Gatillo Harpic X 500 Cc.,2,2023-08-23,Limpieza,$5085,Limpiador
1914,Longaniza Española 214 X 1 Kg.,1,2023-01-15,Frescos,$24400,Longaniza
1269,Bolígrafo Trilux Colores Surtidos Faber Castell X 5 Un.,1,2023-09-27,Hogar,$15699,Bolígrafo
1095,Absorbe Olores Para Heladera Quitolor X 1 Un.,2,2023-10-11,Limpieza,$2350,Absorbe
1315,Helado Chocolate Vainilla Frutilla Best X 524 Gr.,3,2023-04-05,Congelados,$5240,Helado
1738,Rollo De Cocina Sussex Clásico X3 50 Mts.,1,2023-11-27,Limpieza,$1850,Rollo
1595,Galletitas Surtidas Bagley X 400 G.,2,2023-09-12,Almacen,$3320,Galletitas
1516,Pate De Jamón Bocatti X 90 G.,2,2023-11-21,Frescos,$3050,Pate
1566,Jugo Naranja Clásica Citric X 750 Cc.,3,2023-06-09,Bebidas,$4395,Jugo
1607,Preparado Vegetal A Base De Maní Chocolate La Serenísima X 1 Lt.,2,2023-03-26,Frescos,$376,Preparado
1076,Crema Renovadora Con Protector Uv Revigal X 300 Cc.,3,2023-05-05,Hogar,$8135,Crema
1214,Galletitas Con Membrillo Best X 300 G.,2,2023-09-08,Almacen,$1500,Galletitas
1467,"Limpiador Desinfectante Floral Ayudín X 1,8 Lt.",3,2023-06-02,Limpieza,$5670,Limpiador
1780,Pochoclos Dulces Gallo Snacks X 50 G.,3,2023-02-03,Almacen,$845,Pochoclos
1689,Organizador Sortmaster Grande Stanley X 1 Un.,1,2023-11-11,Hogar,$559,Organizador
1906,"Agua Sin Gas Naranja Sierra De Los Padres X 1,5 Lt.",1,2023-03-11,Bebidas,$1050,Agua
1927,Galletitas Salvado Hogareñas X 3 Un. 600 G.,3,2023-10-04,Almacen,$850,Galletitas
1307,Mini Tostaditas Jamón Ibérico Twistos X 155 G.,2,2023-03-06,Almacen,$2960,Mini
1128,Acondicionador Oleo Nutricion Dove X 750 Cc.,1,2023-11-27,Perfumeria,$3150,Acondicionador
1676,Canasta Liquido Para Inodoros Lavanda Repuesto Pato X 50 Cc.,3,2023-02-15,Limpieza,$7850,Canasta
1331,Enjuague Bucal Colgate Total 12 Carbón Activado 250 Cc,1,2023-03-21,Perfumeria,$4550,Enjuague
1918,Cartucho Afeitar Fusion Proshield Gillette X 4 Un.,2,2023-02-12,Perfumeria,$3900,Cartucho
1363,Antitranspirante Aerosol Deep Carbã³N Activo Beat Nivea For Men X 150 Cc.,3,2023-11-05,Perfumeria,$3200,Antitranspirante
1912,Sal Fina Light Dos Anclas Estuche X 500 G.,1,2023-12-03,Almacen,$2150,Sal
